Transaction_ID,Customer_ID,Date,Time,Month,Quarter,Year,Week_Number,Day,Day_of_Week,Weekend,Category,Sub_Category,Description,Merchant,Merchant_Category,Transaction_Type,Amount,Currency,Payment_Mode,Account_Type,City,State,Country,Latitude,Longitude,Budget_Category,Income_Source,Expense_Tag,Recurring,Salary_Week,Holiday,Notes
TXN-100045,CUST-1005,2024-07-08,19:40:54,7,3,2024,28,8,Monday,No,UPI Payments,PhonePe UPI Transfer,Purchase at Google Pay P2P Transfer - PhonePe UPI Transfer,Google Pay P2P Transfer,UPI Payments,Expense,366.61,INR,Debit Card,Savings Account,Ahmedabad,GJ,India,23.035425,72.578496,Miscellaneous,None,Discretionary,No,No,No,Routine purchase
TXN-100046,CUST-1002,2025-01-30,07:47:49,1,1,2025,5,30,Thursday,No,Travel,Ola Ride,Purchase at IRCTC Ticket Booking - Ola Ride,IRCTC Ticket Booking,Travel,Expense,3833.18,INR,Net Banking,Current Account,Bangalore,KA,India,12.986282,77.605792,Travel,None,Discretionary,No,Yes,No,Routine purchase
TXN-100047,CUST-1002,2024-02-29,08:00:14,2,1,2024,9,29,Thursday,No,Groceries,DMart Groceries,Purchase at Blinkit Delivery - DMart Groceries,Blinkit Delivery,Groceries,Expense,1251.29,INR,UPI,Current Account,Bangalore,KA,India,12.9191,77.604256,Groceries,None,Essential,No,Yes,No,Routine purchase
TXN-100048,CUST-1003,2024-01-02,10:01:00,1,1,2024,1,2,Tuesday,No,UPI Payments,PhonePe UPI Transfer,Purchase at Google Pay P2P Transfer - PhonePe UPI Transfer,Google Pay P2P Transfer,UPI Payments,Expense,3605.17,INR,Debit Card,Current Account,Mumbai,MH,India,19.102126,72.845043,Miscellaneous,None,Discretionary,No,Yes,Yes,New Year festival spend
TXN-100049,CUST-1004,2025-04-03,15:38:49,4,2,2025,14,3,Thursday,No,Entertainment,BookMyShow Tickets,Purchase at Disney+ Hotstar Subscription - BookMyShow Tickets,Disney+ Hotstar Subscription,Entertainment,Expense,6438.25,INR,Credit Card,Credit Card,Delhi,DL,India,28.716358,77.09211,Entertainment,None,Discretionary,No,No,Yes,Ugadi festival spend
TXN-100050,CUST-1002,2024-01-29,15:27:43,1,1,2024,5,29,Monday,No,Investments,Groww Investment Mutual Fund,Purchase at Zerodha Equity Purchase - Groww Investment Mutual Fund,Zerodha Equity Purchase,Investments,Expense,2338.84,INR,UPI,Savings Account,Bangalore,KA,India,12.984825,77.571986,Investments & Savings,None,Savings,No,Yes,No,Routine purchase
TXN-100051,CUST-1004,2025-03-02,21:27:38,3,1,2025,9,2,Sunday,Yes,Groceries,BigBasket Delivery,Purchase at Blinkit Delivery - BigBasket Delivery,Blinkit Delivery,Groceries,Expense,10714.7,INR,Credit Card,Credit Card,Delhi,DL,India,28.631064,77.117043,Groceries,None,Essential,No,Yes,No,Leisure POS swipe
TXN-100052,CUST-1003,2023-10-12,10:49:32,10,4,2023,41,12,Thursday,No,Investments,Gold Bond Investment,Purchase at Zerodha Equity Purchase - Gold Bond Investment,Zerodha Equity Purchase,Investments,Expense,10947.03,INR,Net Banking,Savings Account,Mumbai,MH,India,19.011344,72.881894,Investments & Savings,None,Savings,No,No,No,Routine purchase
TXN-100053,CUST-1001,2025-07-27,15:45:09,7,3,2025,30,27,Sunday,Yes,UPI Payments,PhonePe UPI Transfer,Purchase at Paytm UPI Pay - PhonePe UPI Transfer,Paytm UPI Pay,UPI Payments,Expense,204.96,INR,Debit Card,Savings Account,Pune,MH,India,18.573095,73.871336,Miscellaneous,None,Discretionary,No,Yes,No,Leisure POS swipe
TXN-100054,CUST-1002,2023-12-27,08:13:32,12,4,2023,52,27,Wednesday,No,Dining,Swiggy Delivery,Purchase at Swiggy Delivery - Swiggy Delivery,Swiggy Delivery,Dining,Expense,916.8,INR,Cash,Current Account,Bangalore,KA,India,12.970875,77.606331,Miscellaneous,None,Discretionary,No,Yes,Yes,Christmas & New Year festival spend
TXN-100055,CUST-1004,2025-11-23,20:41:23,11,4,2025,47,23,Sunday,Yes,Milk,Milk Packets,Purchase at Amul Milk Parlour - Milk Packets,Amul Milk Parlour,Milk,Expense,551.9,INR,Cash,Current Account,Delhi,DL,India,28.670617,77.06998,Groceries,None,Essential,No,No,No,Leisure POS swipe
TXN-100056,CUST-1004,2025-08-12,14:59:11,8,3,2025,33,12,Tuesday,No,Shopping,Flipkart Shopping,Purchase at Reliance Digital Electronics - Flipkart Shopping,Reliance Digital Electronics,Shopping,Expense,5142.7,INR,Debit Card,Savings Account,Delhi,DL,India,28.635027,77.166483,Shopping,None,Discretionary,No,No,No,Routine purchase
TXN-100057,CUST-1003,2024-07-10,08:00:00,7,3,2024,28,10,Wednesday,No,EMI,Home Loan EMI,Loan EMI Installment - CUST-1003,ICICI Car Loan EMI,Financial Services,Expense,65000.0,INR,Net Banking,Savings Account,Mumbai,MH,India,18.998171,72.856294,Debt Service,None,Fixed,Yes,No,No,Monthly Loan Installment Auto-debit
TXN-100058,CUST-1004,2023-04-21,11:47:24,4,2,2023,16,21,Friday,No,Milk,Milk Packets,Purchase at Country Delight Delivery - Milk Packets,Country Delight Delivery,Milk,Expense,1737.05,INR,Cash,Savings Account,Delhi,DL,India,28.764465,77.126724,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100059,CUST-1005,2025-12-22,07:59:53,12,4,2025,52,22,Monday,No,Dining,Swiggy Delivery,Purchase at Swiggy Delivery - Swiggy Delivery,Swiggy Delivery,Dining,Expense,472.27,INR,UPI,Current Account,Ahmedabad,GJ,India,23.010125,72.58093,Miscellaneous,None,Discretionary,No,No,No,Routine purchase
TXN-100060,CUST-1002,2024-02-05,11:30:00,2,1,2024,6,5,Monday,No,Broadband,Airtel Fiber Broadband,,Airtel Xtream Fiber,Utilities,Expense,1182.0,INR,UPI,Savings Account,Bangalore,KA,India,12.99991,77.572101,Utilities,None,Essential,Yes,No,No,Monthly internet bill
TXN-100061,CUST-1004,2023-11-12,17:20:54,11,4,2023,45,12,Sunday,Yes,Travel,Indigo Flight Booking,Purchase at RedBus Ticket - Indigo Flight Booking,RedBus Ticket,Travel,Expense,69778.35,INR,UPI,Current Account,Delhi,DL,India,28.739342,77.124124,Travel,None,Discretionary,No,No,Yes,Diwali festival spend
TXN-100062,CUST-1003,2024-12-19,11:57:04,12,4,2024,51,19,Thursday,No,Groceries,BigBasket Delivery,Purchase at Zepto Grocery - BigBasket Delivery,Zepto Grocery,Groceries,Expense,1467.77,INR,UPI,Current Account,Mumbai,MH,India,19.057811,72.839194,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100063,CUST-1003,2023-02-08,18:48:18,2,1,2023,6,8,Wednesday,No,Entertainment,Netflix India Subscription,Purchase at Netflix India Plan - Netflix India Subscription,Netflix India Plan,Entertainment,Expense,1679.79,INR,UPI,Current Account,Mumbai,MH,India,19.149847,72.819311,Entertainment,None,Discretionary,No,No,No,Routine purchase
TXN-100064,CUST-1003,2024-04-04,14:10:10,4,2,2024,14,4,Thursday,No,Shopping,Ajio Fashion,Purchase at Flipkart Online Sale - Ajio Fashion,Flipkart Online Sale,Shopping,Expense,18044.96,INR,UPI,Current Account,Mumbai,MH,India,19.050842,72.82702,Shopping,None,Discretionary,No,No,Yes,Ugadi festival spend
TXN-100065,CUST-1001,2023-09-08,22:50:38,9,3,2023,36,8,Friday,No,Groceries,Reliance Fresh Groceries,Purchase at Blinkit Delivery - Reliance Fresh Groceries,Blinkit Delivery,Groceries,Expense,231.95,INR,Credit Card,Credit Card,Pune,MH,India,18.534087,73.76536,Groceries,None,Essential,No,No,Yes,Ganesh Chaturthi festival spend
TXN-100066,CUST-1002,2023-04-09,15:16:34,4,2,2023,14,9,Sunday,Yes,Food,Restaurant Dining,Purchase at Swiggy Order - Restaurant Dining,Swiggy Order,Food,Expense,1118.55,INR,Debit Card,Savings Account,Bangalore,KA,India,12.970708,77.567045,Food & Dining,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100067,CUST-1004,2025-09-27,09:24:38,9,3,2025,39,27,Saturday,Yes,Travel,IRCTC Train Booking,Purchase at RedBus Ticket - IRCTC Train Booking,RedBus Ticket,Travel,Expense,12730.26,INR,UPI,Current Account,Delhi,DL,India,28.718327,77.135726,Travel,None,Discretionary,No,Yes,No,Leisure POS swipe
TXN-100068,CUST-1001,2023-06-08,10:57:24,6,2,2023,23,8,Thursday,No,Food,Restaurant Dining,Purchase at Swiggy Order - Restaurant Dining,Swiggy Order,Food,Expense,137.78,INR,Debit Card,Savings Account,Pune,MH,India,18.529129,73.84149,Food & Dining,None,Discretionary,No,No,No,Routine purchase
TXN-100069,CUST-1005,2025-05-22,08:14:14,5,2,2025,21,22,Thursday,No,Investments,Groww Investment Mutual Fund,Purchase at SBI Gold Bond Scheme - Groww Investment Mutual Fund,SBI Gold Bond Scheme,Investments,Expense,1559.65,INR,UPI,Savings Account,Ahmedabad,GJ,India,23.05323,72.551255,Investments & Savings,None,Savings,No,No,No,Routine purchase
TXN-100070,CUST-1005,2023-05-16,22:52:53,5,2,2023,20,16,Tuesday,No,Fuel,Bharat Petroleum,Purchase at Indian Oil Petrol Pump - Bharat Petroleum,Indian Oil Petrol Pump,Fuel,Expense,893.14,INR,Credit Card,Credit Card,Ahmedabad,GJ,India,22.97178,72.542045,Transportation,None,Essential,No,No,No,Routine purchase
TXN-100071,CUST-1005,2025-08-12,14:43:09,8,3,2025,33,12,Tuesday,No,Groceries,Reliance Fresh Groceries,Purchase at Zepto Grocery - Reliance Fresh Groceries,Zepto Grocery,Groceries,Expense,507.02,INR,Credit Card,Credit Card,Ahmedabad,GJ,India,23.066729,72.575823,Groceries,None,Essential,No,No,No,Routine purchase
TXN-100072,CUST-1005,2025-02-16,20:26:55,2,1,2025,7,16,Sunday,Yes,Food,Restaurant Dining,Purchase at Swiggy Order - Restaurant Dining,Swiggy Order,Food,Expense,107.01,INR,Credit Card,Credit Card,Ahmedabad,GJ,India,23.007067,72.598715,Food & Dining,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100073,CUST-1002,2023-07-16,16:05:44,7,3,2023,28,16,Sunday,Yes,Freelancing,UI Design Project,Freelance project work - UI Design Project,Direct Consulting Project,Freelancing,Income,31218.7,INR,UPI,Savings Account,Bangalore,KA,India,13.039893,77.563767,Income,Freelance,None,No,No,No,Freelance invoice payment
TXN-100074,CUST-1001,2024-10-14,12:56:45,10,4,2024,42,14,Monday,No,Freelancing,Data Analysis Consulting,Freelance project work - Data Analysis Consulting,Direct Consulting Project,Freelancing,Income,5900.03,INR,Net Banking,Savings Account,Pune,MH,India,18.53553,73.868275,Income,Freelance,None,No,No,No,Freelance invoice payment
TXN-100075,CUST-1003,2025-05-10,08:00:00,5,2,2025,19,10,Saturday,Yes,EMI,Home Loan EMI,Loan EMI Installment - CUST-1003,HDFC Housing Loan EMI,Financial Services,Expense,65000.0,INR,Net Banking,Savings Account,Mumbai,MH,India,19.084423,72.94358,Debt Service,None,Fixed,Yes,No,No,Monthly Loan Installment Auto-debit
TXN-100076,CUST-1001,2025-06-08,15:43:41,6,2,2025,23,8,Sunday,Yes,Shopping,Amazon India Shopping,Purchase at Flipkart Online Sale - Amazon India Shopping,Flipkart Online Sale,Shopping,Expense,685.7,INR,Credit Card,Credit Card,Pune,MH,India,18.492744,73.884852,Shopping,None,Discretionary,No,No,No,Leisure POS swipe
TXN-100077,CUST-1005,2023-01-31,13:34:42,1,1,2023,5,31,Tuesday,No,Food,Restaurant Dining,Purchase at Dominos Pizza - Restaurant Dining,Dominos Pizza,Food,Expense,480.49,INR,Credit Card,Credit Card,Ahmedabad,GJ,India,23.034104,72.604129,Food & Dining,None,Discretionary,No,Yes,No,Routine purchase
TXN-100078,CUST-1003,2025-02-21,17:39:50,2,1,2025,8,21,Friday,No,Freelancing,Data Analysis Consulting,Freelance project work - Data Analysis Consulting,Fiverr Client,Freelancing,Income,65026.98,INR,UPI,Savings Account,Mumbai,MH,India,19.102256,72.929796,Income,Freelance,None,No,No,No,Freelance invoice payment
